"MacRep1","MacRep2","MacRep3","NeuRep1","NeuRep2","NeuRep3","MonRep1","MonRep2","MonRep3"
9,39,38,4,1,7,11,37,50
12,81,76,58,10,30,11,57,77
12,63,57,41,9,16,10,54,62
2,4,4,7,3,2,0,2,3
15,53,45,11,7,5,4,14,2
43,144,123,94,19,47,16,126,123
16,113,80,97,6,30,9,75,88
13,55,56,37,8,21,10,35,58
52,250,226,201,29,101,28,200,213
9,57,50,60,13,22,12,56,57
12,56,46,13,0,4,4,6,5
18,105,74,54,6,33,14,59,52
8,47,48,49,8,28,22,60,59
10,54,47,25,2,20,8,35,35
14,118,102,52,10,35,14,100,59
9,64,60,5,2,3,5,4,7
5,14,11,8,1,6,0,23,6
36,236,143,114,14,51,14,144,98
0,3,0,6,1,3,1,2,3
12,29,18,8,4,9,2,14,20
10,30,24,16,5,9,4,19,30
4,28,21,45,9,10,14,54,72
8,65,38,18,10,12,5,41,33
25,90,100,25,5,13,8,40,52
8,80,62,4,1,1,3,8,10
12,48,39,22,5,11,5,28,29
4,18,9,1,0,1,0,2,3
20,189,132,73,13,48,18,84,123
34,209,152,72,7,45,16,171,108
8,24,25,8,4,8,4,17,29
26,136,137,9,2,9,12,94,114
10,23,20,3,0,7,8,29,27
6,23,12,7,1,7,1,13,14
14,72,43,19,3,12,14,46,75
10,69,39,48,15,38,10,58,42
23,88,70,54,7,38,8,81,74
5,58,48,10,2,9,11,82,86
9,38,29,6,2,4,0,5,11
11,63,68,67,5,45,12,165,136
11,46,51,10,1,7,4,24,29
14,59,49,16,4,10,10,38,29
10,54,58,34,17,20,4,41,60
9,45,62,40,10,19,13,53,54
12,72,48,46,17,21,6,44,41
26,121,117,95,11,49,17,94,102
10,103,81,62,9,35,12,67,81
15,73,58,53,13,25,16,61,64
4,39,25,36,12,20,7,39,54
9,79,51,14,4,14,5,23,20
3,28,32,21,7,14,5,31,42
10,53,41,26,7,8,9,19,24
24,80,75,47,6,14,15,63,58
8,40,38,23,8,26,6,38,34
14,74,88,23,10,21,12,64,61
8,45,38,13,7,10,2,20,23
6,13,12,12,0,1,0,20,21
9,34,30,14,2,12,3,18,22
20,148,107,98,8,38,10,109,107
9,34,47,8,1,2,3,16,28
29,162,104,63,11,49,35,145,130
9,52,50,7,4,3,4,24,34
7,33,42,8,5,3,1,8,4
11,66,55,6,0,2,4,6,4
28,101,61,38,12,27,9,47,39
13,55,49,37,6,13,2,45,42
0,4,8,7,1,3,1,4,4
7,57,32,36,4,34,5,56,60
